X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.218157694,0.716341019,0,125652.367,2000,0,0,0,0.255286902,0,0,784.507019,125652.367,2000,-3117766,-4.99E+09,3.31E-07,-1768817,643797,0,-4858618.5,1768393.38,0,1.24997663,0.683329642,0.232423052,1199518,0,0,5242.33643,0.054013304,0.483259767,0.328952104,1.95E-17,0.155952573,5.97E-10,0.031835508
0.219786465,0.720816016,0,125651.078,2000,0,0,0,0.255289197,0,0,784.495728,125651.078,2000,-3118139,-5.00E+09,3.31E-07,-1770938.25,644569.312,0,-4864547.5,1770551.88,0,1.24996483,0.683331072,0.231813267,1200718.38,0,0,5247.46973,0.05373022,0.483413994,0.328853935,1.96E-17,0.155858532,6.02E-10,0.031873494
0.221415237,0.725291014,0,125642.164,2000,0,0,0,0.255272299,0,0,784.491699,125642.164,2000,-3118282.5,-5.01E+09,3.31E-07,-1773610.75,645542,0,-4871921,1773235.62,0,1.24995792,0.683331907,0.231219783,1202022.25,0,0,5253.06006,0.053455424,0.483546853,0.328769356,1.98E-17,0.155766338,6.09E-10,0.031917412
0.223043993,0.729766011,0,125628.297,2000,0,0,0,0.255243719,0,0,784.490906,125628.297,2000,-3118321.5,-5.02E+09,3.32E-07,-1776320.25,646528.188,0,-4879422.5,1775965.88,0,1.24995363,0.683332562,0.230614603,1203267.75,0,0,5258.4043,0.053175926,0.483661711,0.328696251,2.01E-17,0.155681282,6.19E-10,0.031960733
0.224672765,0.734241009,0,125615.281,2000,0,0,0,0.255219102,0,0,784.485596,125615.281,2000,-3118505,-5.03E+09,3.32E-07,-1778594.25,647355.75,0,-4885735.5,1778263.25,0,1.24994588,0.683333635,0.229973882,1204448,0,0,5263.45215,0.052880827,0.48379916,0.328608721,2.06E-17,0.15558809,6.32E-10,0.032003976
0.226301536,0.738716066,0,125608.586,2000,0,0,0,0.255214363,0,0,784.466248,125608.586,2000,-3119134.25,-5.04E+09,3.32E-07,-1780196.25,647938.688,0,-4890223.5,1779896.38,0,1.24992788,0.683335781,0.229290277,1205485.38,0,0,5267.8501,0.052566908,0.483995229,0.328483939,2.11E-17,0.155478328,6.48E-10,0.032042485
0.227930307,0.743191063,0,125611.445,2000,0,0,0,0.255238086,0,0,784.428833,125611.445,2000,-3120339.75,-5.05E+09,3.32E-07,-1781088.75,648263.375,0,-4892622.5,1780769.12,0,1.24989665,0.683339298,0.228562444,1206395.75,0,0,5271.66016,0.052233741,0.484267771,0.32831043,2.16E-17,0.155346557,6.63E-10,0.032075208
0.229559079,0.747666061,0,125622.805,2000,0,0,0,0.255286247,0,0,784.377258,125622.805,2000,-3121996,-5.06E+09,3.31E-07,-1781265.88,648327.75,0,-4892993,1780903.88,0,1.24985516,0.683344007,0.22779049,1207128,0,0,5274.66992,0.051881541,0.484595656,0.328101695,2.19E-17,0.155201003,6.74E-10,0.032101601
0.23118785,0.752141058,0,125637.312,2000,0,0,0,0.255342722,0,0,784.32196,125637.312,2000,-3123769.75,-5.07E+09,3.31E-07,-1781134.25,648279.812,0,-4892624.5,1780769.62,0,1.24981117,0.683349192,0.226997331,1207715.62,0,0,5277.04785,0.051520918,0.484930336,0.327888638,2.21E-17,0.155057684,6.78E-10,0.032123301
0.232816622,0.756616056,0,125648.391,2000,0,0,0,0.255387843,0,0,784.275513,125648.391,2000,-3125260.25,-5.07E+09,3.31E-07,-1781248.62,648321.562,0,-4893033.5,1780918.75,0,1.2497741,0.683353841,0.22620973,1208268.88,0,0,5279.2998,0.05116405,0.485219032,0.327704847,2.20E-17,0.154931545,6.79E-10,0.03214452
0.234445393,0.761091053,0,125650.461,2000,0,0,0,0.255405486,0,0,784.247498,125650.461,2000,-3126164.5,-5.08E+09,3.31E-07,-1781913.62,648563.688,0,-4894912.5,1781602.88,0,1.24975061,0.683357179,0.225436866,1208930.5,0,0,5282.0625,0.050815057,0.485425115,0.327573657,2.20E-17,0.154831454,6.78E-10,0.032169722
0.23607415,0.765566111,0,125639.68,2000,0,0,0,0.25538674,0,0,784.239868,125639.68,2000,-3126416.75,-5.09E+09,3.31E-07,-1783334.88,649081.188,0,-4898776,1783009.62,0,1.24974215,0.683358967,0.224686727,1209716.5,0,0,5285.40625,0.050477438,0.485545427,0.327497095,2.21E-17,0.154755667,6.81E-10,0.032201789
0.237702921,0.770041108,0,125616.867,2000,0,0,0,0.255335867,0,0,784.247559,125616.867,2000,-3126182.5,-5.10E+09,3.31E-07,-1785409.25,649836.25,0,-4904464,1785080.12,0,1.24974465,0.683359623,0.223956853,1210595.5,0,0,5289.18066,0.050150022,0.485603899,0.327459872,2.23E-17,0.15469636,6.87E-10,0.032239847
0.239331692,0.774516106,0,125586.727,2000,0,0,0,0.255266815,0,0,784.26178,125586.727,2000,-3125741.75,-5.10E+09,3.32E-07,-1787765.62,650693.875,0,-4910923,1787431,0,1.24975181,0.683359683,0.223229185,1211579.12,0,0,5293.41846,0.049824636,0.485640913,0.327436298,2.26E-17,0.154640391,6.98E-10,0.03228236
0.240960464,0.778991103,0,125555.625,2000,0,0,0,0.255197108,0,0,784.273132,125555.625,2000,-3125391,-5.11E+09,3.32E-07,-1790146,651560.25,0,-4917430,1789799.25,0,1.24975657,0.683359861,0.22249496,1212654.25,0,0,5298.04248,0.0494974,0.485700041,0.327398658,2.30E-17,0.154573262,7.11E-10,0.03232801
0.242589235,0.783466101,0,125530.531,2000,0,0,0,0.255144417,0,0,784.274841,125530.531,2000,-3125350,-5.12E+09,3.32E-07,-1792228.12,652318,0,-4923109,1791866.12,0,1.24975395,0.683360636,0.221742243,1213776.62,0,0,5302.84717,0.049163032,0.485808939,0.327329338,2.35E-17,0.154487699,7.25E-10,0.032373995
0.244218007,0.787941098,0,125517.172,2000,0,0,0,0.255121589,0,0,784.264526,125517.172,2000,-3125695,-5.13E+09,3.32E-07,-1793929,652937.062,0,-4927787.5,1793568.88,0,1.24974227,0.683362305,0.220972896,1214950.62,0,0,5307.84961,0.048822459,0.485974967,0.327223629,2.39E-17,0.154382914,7.39E-10,0.032418452
