x,y,qdot
0.103799462,0.005264141,234495.312
0.104298741,0.005264141,234592.125
0.104798019,0.005264141,234684.969
0.10529729,0.005264141,234773.766
0.105796568,0.005264141,234858.562
0.106295846,0.005264141,234939.344
0.106795117,0.005264141,235016.656
0.107294396,0.005264141,235090.203
0.107793674,0.005264141,235158.844
0.108292952,0.005264141,235223.516
0.108792223,0.005264141,235285.594
0.109291501,0.005264141,235344.406
0.10979078,0.005264141,235398.844
0.110290051,0.005264141,235449.203
0.110789329,0.005264141,235496.203
0.111288607,0.005264141,235539.625
0.111787878,0.005264141,235579.078
0.112287156,0.005264141,235614.828
0.112786435,0.005264141,235647.422
0.113285713,0.005264141,235675.562
0.113784984,0.005264141,235699.016
0.114284262,0.005264141,235719.391
0.11478354,0.005264141,235736.734
0.115282811,0.005264141,235750.703
0.11578209,0.005264141,235761.219
0.116281368,0.005264141,235768.016
0.116780639,0.005264141,235771.75
0.117279917,0.005264141,235772.312
0.117779195,0.005264141,235768.703
0.118278474,0.005264141,235759.969
0.118777744,0.005264141,235747.922
0.119277023,0.005264141,235734.438
0.119776301,0.005264141,235718.5
0.120275572,0.005264141,235699.359
0.12077485,0.005264141,235678.422
0.121274129,0.005264141,235652.5
0.121773399,0.005264141,235620.469
0.122272678,0.005264141,235589.312
0.122771956,0.005264141,235556.281
0.123271234,0.005264141,235517.672
0.123770505,0.005264141,235476.047
0.124269783,0.005264141,235431.875
0.124769062,0.005264141,235385.078
0.125268325,0.005264141,235335.625
0.125767604,0.005264141,235283.469
0.126266882,0.005264141,235228.594
0.12676616,0.005264141,235170.906
0.127265438,0.005264141,235110.359
0.127764717,0.005264141,235046.25
0.128263995,0.005264141,234978.844
0.128763258,0.005264141,234909.062
0.129262537,0.005264141,234836.75
0.129761815,0.005264141,234761.906
0.130261093,0.005264141,234684.297
0.130760372,0.005264141,234604.016
0.13125965,0.005264141,234521.547
0.131758913,0.005264141,234436.938
0.132258192,0.005264141,234349.703
0.13275747,0.005264141,234259.906
0.133256748,0.005264141,234168.094
0.133756027,0.005264141,234073.734
0.134255305,0.005264141,233976.438
0.134754583,0.005264141,233876.625
0.135253847,0.005264141,233775
0.135753125,0.005264141,233671.453
0.136252403,0.005264141,233565.594
0.136751682,0.005264141,233457.344
0.13725096,0.005264141,233347.047
0.137750238,0.005264141,233234.969
0.138249502,0.005264141,233120.859
0.13874878,0.005264141,233005
0.139248058,0.005264141,232888.234
0.139747337,0.005264141,232769.422
0.140246615,0.005264141,232647.656
0.140745893,0.005264141,232523.562
0.141245171,0.005264141,232397.688
0.141744435,0.005264141,232270.484
0.142243713,0.005264141,232141.5
0.142742991,0.005264141,232010.703
0.14324227,0.005264141,231878.188
0.143741548,0.005264141,231743.891
0.144240826,0.005264141,231607.922
0.144740105,0.005264141,231470.375
0.145239368,0.005264141,231331.688
0.145738646,0.005264141,231191.125
0.146237925,0.005264141,231048.953
0.146737203,0.005264141,230903.875
0.147236481,0.005264141,230757.969
0.14773576,0.005264141,230611.078
0.148235023,0.005264141,230462.766
0.148734301,0.005264141,230313
0.14923358,0.005264141,230162.016
0.149732858,0.005264141,230009.5
0.150232136,0.005264141,229854.078
0.150731415,0.005264141,229698.734
0.151230693,0.005264141,229542.391
0.151729956,0.005264141,229386.562
0.152229235,0.005264141,229227.922
0.152728513,0.005264141,229066.469
0.153227791,0.005264141,228904.938
0.153727069,0.005264141,228743.781
0.154226348,0.005264141,228581.922
0.154725626,0.005264141,228418.281
0.15522489,0.005264141,228254.438
0.155724168,0.005264141,228088.859
0.156223446,0.005264141,227923.344
0.156722724,0.005264141,227751.234
0.157222003,0.005264141,227582.422
0.157721281,0.005264141,227418.562
0.158220544,0.005264141,227249.234
0.158719823,0.005264141,227079.609
0.159219101,0.005264141,226908.531
0.159718379,0.005264141,226736.438
0.160217658,0.005264141,226563.422
0.160716936,0.005264141,226389.703
0.161216214,0.005264141,226215.594
0.161715478,0.005264141,226041.281
0.162214756,0.005264141,225866.625
0.162714034,0.005264141,225689.703
0.163213313,0.005264141,225512.375
0.163712591,0.005264141,225335.719
0.164211869,0.005264141,225157.891
0.164711148,0.005264141,224979.641
0.165210411,0.005264141,224801.031
0.165709689,0.005264141,224621.781
0.166208968,0.005264141,224442.125
0.166708246,0.005264141,224262.562
0.167207524,0.005264141,224082.797
0.167706802,0.005264141,223902.156
0.168206066,0.005264141,223718.375
0.168705344,0.005264141,223536.266
0.169204623,0.005264141,223357.188
0.169703901,0.005264141,223174.516
0.170203179,0.005264141,222989.109
0.170702457,0.005264141,222805.844
0.171201736,0.005264141,222624.203
0.171700999,0.005264141,222439.812
0.172200277,0.005264141,222254.656
0.172699556,0.005264141,222070.969
0.173198834,0.005264141,221887.984
0.173698112,0.005264141,221705.359
0.174197391,0.005264141,221521.188
0.174696654,0.005264141,221336.422
0.175195932,0.005264141,221151.609
0.175695211,0.005264141,220966.562
0.176194489,0.005264141,220780.703
0.176693767,0.005264141,220594.531
0.177193046,0.005264141,220409.906
0.177692324,0.005264141,220226.109
0.178191587,0.005264141,220041.328
0.178690866,0.005264141,219856.094
0.179190144,0.005264141,219671.438
0.179689422,0.005264141,219486.5
0.180188701,0.005264141,219301.672
0.180687979,0.005264141,219116.234
0.181187257,0.005264141,218930.578
0.181686521,0.005264141,218746.047
0.182185799,0.005264141,218561.484
0.182685077,0.005264141,218376.234
0.183184355,0.005264141,218191.438
0.183683634,0.005264141,218007.016
0.184182912,0.005264141,217822.594
0.184682176,0.005264141,217638.438
0.185181454,0.005264141,217454.453
0.185680732,0.005264141,217270.453
0.18618001,0.005264141,217086.484
0.186679289,0.005264141,216902.625
0.187178567,0.005264141,216719.078
0.187677845,0.005264141,216535.594
0.188177109,0.005264141,216352.5
0.188676387,0.005264141,216169.812
0.189175665,0.005264141,215987.141
0.189674944,0.005264141,215804.625
0.190174222,0.005264141,215622.516
0.1906735,0.005264141,215440.703
0.191172779,0.005264141,215258.859
0.191672042,0.005264141,215077.031
0.19217132,0.005264141,214895.234
0.192670599,0.005264141,214713.781
0.193169877,0.005264141,214532.641
0.193669155,0.005264141,214351.156
0.194168434,0.005264141,214171.688
0.194667697,0.005264141,213992.172
0.195166975,0.005264141,213812.797
0.195666254,0.005264141,213635.188
0.196165532,0.005264141,213455.453
0.19666481,0.005264141,213275.938
0.197164088,0.005264141,213098.125
0.197663367,0.005264141,212920.203
0.19816263,0.005264141,212742.156
0.198661909,0.005264141,212564.156
0.199161187,0.005264141,212386.328
0.199660465,0.005264141,212208.828
0.200159743,0.005264141,212032.078
0.200659022,0.005264141,211855.797
0.2011583,0.005264141,211679.75
0.201657563,0.005264141,211503.031
0.202156842,0.005264141,211327.641
0.20265612,0.005264141,211153.875
0.203155398,0.005264141,210979.5
0.203654677,0.005264141,210805.453
0.204153955,0.005264141,210631.438
0.204653218,0.005264141,210457.734
0.205152497,0.005264141,210284.781
0.205651775,0.005264141,210111.891
0.206151053,0.005264141,209938.859
0.206650332,0.005264141,209766.812
0.20714961,0.005264141,209595.453
0.207648888,0.005264141,209424.016
0.208148152,0.005264141,209252.562
0.20864743,0.005264141,209081.469
0.209146708,0.005264141,208910.938
0.209645987,0.005264141,208740.359
0.210145265,0.005264141,208570.062
0.210644543,0.005264141,208400.406
0.211143821,0.005264141,208231.047
0.211643085,0.005264141,208061.828
0.212142363,0.005264141,207892.953
0.212641641,0.005264141,207724.406
0.21314092,0.005264141,207555.812
0.213640198,0.005264141,207387.031
0.214139476,0.005264141,207218.344
0.21463874,0.005264141,207050.312
0.215138018,0.005264141,206882.906
0.215637296,0.005264141,206715.859
0.216136575,0.005264141,206549.234
0.216635853,0.005264141,206383
0.217135131,0.005264141,206216.906
0.21763441,0.005264141,206050.859
0.218133673,0.005264141,205884.703
0.218632951,0.005264141,205718.672
0.21913223,0.005264141,205552.828
0.219631508,0.005264141,205386.984
0.220130786,0.005264141,205221.156
0.220630065,0.005264141,205055.609
0.221129328,0.005264141,204890.438
0.221628606,0.005264141,204725.125
0.222127885,0.005264141,204560.359
0.222627163,0.005264141,204404.875
0.223126441,0.005264141,204264.828
0.223626435,0.005264141,204122.156
0.224126443,0.005264141,203966.859
0.22466974,0.005264141,203801.375
0.225260064,0.005264141,203622.594
0.22590144,0.005264141,203430.906
0.226598218,0.005264141,203225.172
