x,y,P,T,CO2,CO,C2,O2,C,O
0.049378377,0.005264141,138664.031,2000,0.650712788,2.22E-01,8.64E-18,1.25E-01,1.82E-12,0.002315754
0.049877651,0.005264141,138664.094,2000,0.65017426,2.23E-01,9.84E-18,1.25E-01,2.01E-12,0.002328345
0.050376929,0.005264141,138664.156,2000,0.649649203,2.23E-01,6.97E-18,1.25E-01,1.79E-12,0.002340035
0.050876204,0.005264141,138664.219,2000,0.649136722,2.23E-01,6.56E-18,1.25E-01,2.04E-12,0.002351762
0.051375479,0.005264141,138664.297,2000,0.648636281,2.24E-01,6.44E-18,1.25E-01,2.05E-12,0.002363257
0.051874757,0.005264141,138664.375,2000,0.648146927,2.24E-01,5.98E-18,1.26E-01,1.97E-12,0.002374523
0.052374031,0.005264141,138664.469,2000,0.647667885,2.24E-01,5.50E-18,1.26E-01,1.91E-12,0.002385651
0.05287331,0.005264141,138664.562,2000,0.647198558,2.25E-01,4.76E-18,1.26E-01,1.92E-12,0.002396371
0.053372584,0.005264141,138664.656,2000,0.64673847,2.25E-01,3.57E-18,1.26E-01,1.96E-12,0.002406804
0.053871859,0.005264141,138664.75,2000,0.646287143,2.25E-01,2.93E-18,1.26E-01,2.03E-12,0.002417306
0.054371137,0.005264141,138664.859,2000,0.645843983,2.25E-01,1.90E-18,1.26E-01,1.94E-12,0.002427511
0.054870412,0.005264141,138664.969,2000,0.64540863,2.26E-01,8.55E-19,1.26E-01,1.75E-12,0.002437343
0.05536969,0.005264141,138665.094,2000,0.644980788,2.26E-01,5.53E-19,1.27E-01,1.90E-12,0.002447118
0.055868965,0.005264141,138665.203,2000,0.644560158,2.26E-01,6.15E-19,1.27E-01,2.39E-12,0.002456972
0.056368239,0.005264141,138665.328,2000,0.644146264,2.26E-01,1.39E-18,1.27E-01,2.76E-12,0.002466501
0.056867518,0.005264141,138665.453,2000,0.643738985,2.27E-01,2.00E-18,1.27E-01,2.79E-12,0.002475787
0.057366792,0.005264141,138665.594,2000,0.643338084,2.27E-01,1.90E-18,1.27E-01,2.37E-12,0.002485272
0.057866067,0.005264141,138665.734,2000,0.642943144,2.27E-01,1.49E-18,1.27E-01,1.75E-12,0.002494491
0.058365345,0.005264141,138665.875,2000,0.642553985,2.27E-01,2.04E-18,1.27E-01,1.43E-12,0.002503434
0.05886462,0.005264141,138666.016,2000,0.642170548,2.28E-01,4.45E-18,1.28E-01,1.40E-12,0.00251242
0.059363898,0.005264141,138666.156,2000,0.641792536,2.28E-01,6.22E-18,1.28E-01,1.61E-12,0.002521229
0.059863173,0.005264141,138666.312,2000,0.641419888,2.28E-01,5.82E-18,1.28E-01,1.89E-12,0.002529916
0.060362447,0.005264141,138666.469,2000,0.641052425,2.28E-01,5.29E-18,1.28E-01,2.06E-12,0.002538657
0.060861725,0.005264141,138666.625,2000,0.640689969,2.29E-01,5.39E-18,1.28E-01,2.29E-12,0.00254728
0.061361,0.005264141,138666.797,2000,0.640332341,2.29E-01,5.11E-18,1.28E-01,2.50E-12,0.002555676
0.061860278,0.005264141,138666.969,2000,0.639979541,2.29E-01,3.96E-18,1.28E-01,2.49E-12,0.002563965
0.062359553,0.005264141,138667.141,2000,0.63963151,2.29E-01,1.93E-18,1.28E-01,2.27E-12,0.002572216
0.062858827,0.005264141,138667.312,2000,0.639288068,2.30E-01,1.01E-18,1.29E-01,2.11E-12,0.002580388
0.063358106,0.005264141,138667.484,2000,0.638949096,2.30E-01,1.23E-18,1.29E-01,2.22E-12,0.00258848
0.063857377,0.005264141,138667.672,2000,0.638614595,2.30E-01,9.73E-19,1.29E-01,2.14E-12,0.002596487
0.064356655,0.005264141,138667.859,2000,0.638284385,2.30E-01,8.69E-19,1.29E-01,1.92E-12,0.002604404
