X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.012423473,0.127775714,0,37111.8242,2000,0,0,0,0.097322702,0,0,669.039856,37111.8242,2000,-6784106,-1318375.38,9.87E-07,-76901.3047,15097.8398,0,-411174.156,80720.4375,0,1.17375863,0.689393103,0.039693721,43296.8438,0,0,181.555023,0.001575393,0.988945484,0.00703719,5.53E-17,0.00150158,1.33E-10,0.002515724
0.013357614,0.132445395,0,37028.375,2000,0,0,0,0.097118832,0,0,668.978333,37028.375,2000,-6786016.5,-1269061.12,9.89E-07,-83814,17080.6953,0,-422916.781,86183.5781,0,1.17372406,0.689395845,0.039988972,43326.7812,0,0,181.678818,0.001598968,0.989152551,0.006905353,5.47E-17,0.001464059,1.29E-10,0.002477983
0.014325257,0.137108237,0,36944.2891,2000,0,0,0,0.096911855,0,0,668.922485,36944.2891,2000,-6787751,-1223639.62,9.91E-07,-90607.0547,19143.5039,0,-434631.719,91825.7266,0,1.17369246,0.689398587,0.040277839,43001.25,0,0,180.312225,0.00162218,0.989340723,0.006785574,5.48E-17,0.001429922,1.25E-10,0.002443742
0.015326351,0.14176403,0,36860.5273,2000,0,0,0,0.096704051,0,0,668.873291,36860.5273,2000,-6789278,-1183430,9.93E-07,-97335.4453,21296.1387,0,-446325.312,97648.8516,0,1.17366481,0.689401329,0.040562257,42431.8906,0,0,177.923447,0.001645183,0.989506423,0.006680111,5.53E-17,0.001399845,1.22E-10,0.002413614
0.016360845,0.146412492,0,36777.1094,2000,0,0,0,0.096495681,0,0,668.830017,36777.1094,2000,-6790622,-1148057,9.95E-07,-104028.438,23544.3047,0,-457971,103647.609,0,1.17364037,0.689403892,0.040842313,41722.9023,0,0,174.949371,0.001667983,0.989651978,0.006587446,5.59E-17,0.001373542,1.19E-10,0.002387017
0.017428689,0.151053429,0,36694.5508,2000,0,0,0,0.096288614,0,0,668.790466,36694.5508,2000,-6791849.5,-1116307.12,9.98E-07,-110693.117,25889.4336,0,-469441.062,109792.305,0,1.1736182,0.689406395,0.041114025,40979.0273,0,0,171.829178,0.001690252,0.98978436,0.006503171,5.63E-17,0.001349958,1.17E-10,0.002362492
0.018529823,0.155686557,0,36613.0352,2000,0,0,0,0.096083984,0,0,668.751953,36613.0352,2000,-6793043,-1086364.25,1.00E-06,-117314.062,28327.75,0,-480603.719,116048.398,0,1.1735965,0.689408779,0.041373476,40285.5742,0,0,168.920502,0.00171165,0.989912271,0.006421734,5.59E-17,0.001327657,1.15E-10,0.002338303
0.019664191,0.160311684,0,36532.9648,2000,0,0,0,0.095883481,0,0,668.711975,36532.9648,2000,-6794283.5,-1056637.25,1.00E-06,-123903.945,30862.0488,0,-491278.562,122365.273,0,1.17357409,0.689411104,0.041615494,39710.5,0,0,166.508209,0.001731731,0.990044296,0.006337678,5.46E-17,0.001305159,1.13E-10,0.002312816
0.020831738,0.164928526,0,36454.5703,2000,0,0,0,0.095688172,0,0,668.668457,36454.5703,2000,-6795633.5,-1025747.25,1.00E-06,-130446.828,33488.1445,0,-501316.344,128694.773,0,1.17354965,0.689413488,0.041836206,39293.2734,0,0,164.757767,0.001750145,0.990187228,0.006246691,5.22E-17,0.001281246,1.10E-10,0.002284787
0.022032401,0.169536874,0,36378.5078,2000,0,0,0,0.09550003,0,0,668.620422,36378.5078,2000,-6797122.5,-992967.188,1.01E-06,-136892.219,36192.293,0,-510602.406,134993.312,0,1.17352271,0.689415872,0.042033166,39053.6562,0,0,163.751953,0.001766659,0.990344465,0.006146609,4.90E-17,0.001255221,1.07E-10,0.002253679
