X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.0038006,0.012684118,0,138769.875,2000,0,0,0,0.297477335,0,0,758.47998,138769.875,2000,-521159808,2.92E-07,-8710.47559,3171.45825,0,-25462.2012,9271,0,1.2327987,0.685756922,0.045215406,352095.156,0,0,1537.00769,0.002037812,0.547150016,0.288205624,3.77E-18,0.159054458,1.29E-11,0.005589846
0.003963165,0.013130762,0,138769.016,2000,0,0,0,0.297522157,0,0,758.403748,138769.016,2000,-519699744,2.92E-07,-8949.06738,3258.26611,0,-26226.4609,9549.10449,0,1.23274457,0.685788989,0.043707091,351229.438,0,0,1533.18445,0.001903877,0.547492504,0.28798762,3.77E-18,0.158946157,1.30E-11,0.005573693
0.004125731,0.013577406,0,138768.109,2000,0,0,0,0.29756549,0,0,758.329834,138768.109,2000,-518354464,2.92E-07,-9190.11133,3345.94092,0,-27016.5215,9836.59473,0,1.23269212,0.685822248,0.042014793,350329.906,0,0,1529.21509,0.001759075,0.547825038,0.287775904,3.46E-18,0.15884082,1.25E-11,0.005558155
0.004288296,0.01402405,0,138767.172,2000,0,0,0,0.297606647,0,0,758.259338,138767.172,2000,-517250944,2.92E-07,-9434.97656,3435.03809,0,-27841.9082,10136.9883,0,1.23264205,0.685855806,0.040209465,349477.469,0,0,1525.45337,0.001610933,0.548142493,0.287573844,3.10E-18,0.158740148,1.21E-11,0.005543475
0.004450861,0.014470695,0,138766.188,2000,0,0,0,0.297643632,0,0,758.195557,138766.188,2000,-516505760,2.92E-07,-9690.26758,3527.94434,0,-28716.9414,10455.4775,0,1.23259664,0.685888529,0.038364042,348739.969,0,0,1522.1969,0.001466117,0.548431695,0.287389755,3.00E-18,0.158647567,1.16E-11,0.005530965
0.004613426,0.014917338,0,138765.156,2000,0,0,0,0.297674805,0,0,758.141052,138765.156,2000,-516261984,2.92E-07,-9956.7334,3624.89966,0,-29645.709,10793.4844,0,1.23255765,0.685919583,0.036531758,348172.188,0,0,1519.6853,0.001329052,0.548683882,0.28722921,3.30E-18,0.158564717,1.12E-11,0.005522167
0.004775991,0.015363982,0,138764.094,2000,0,0,0,0.297698289,0,0,758.098816,138764.094,2000,-516724960,2.92E-07,-10235.2949,3726.2771,0,-30632.7051,11152.7236,0,1.23252738,0.685948193,0.034755748,347829.469,0,0,1518.16187,0.001202653,0.548885882,0.287100583,3.45E-18,0.158495471,1.03E-11,0.005518001
0.004938556,0.015810626,0,138762.969,2000,0,0,0,0.297712445,0,0,758.071594,138762.969,2000,-517794592,2.92E-07,-10531.8633,3834.22217,0,-31698.1172,11540.5664,0,1.23250747,0.685973942,0.033077013,347765.812,0,0,1517.86365,0.001089014,0.549026072,0.287011355,2.91E-18,0.158443436,9.47E-12,0.005519092
0.005101122,0.016257269,0,138761.781,2000,0,0,0,0.297716349,0,0,758.060791,138761.781,2000,-519621632,2.92E-07,-10848.2012,3949.35229,0,-32850.0977,11959.8652,0,1.232499,0.685996532,0.031518135,348016.062,0,0,1518.94348,0.000988528,0.549098849,0.286965013,2.04E-18,0.158409879,9.11E-12,0.005526195
0.005263687,0.016703915,0,138760.531,2000,0,0,0,0.29770869,0,0,758.068542,138760.531,2000,-522293376,2.92E-07,-11186.5449,4072.5105,0,-34092.8281,12412.2412,0,1.23250353,0.686015725,0.030090466,348605.5,0,0,1521.51257,0.000900736,0.549095094,0.286967397,1.36E-18,0.158397585,8.76E-12,0.005539848
